12-01-2023 12:01:17 INFO     [main.py:13] Admin logged in
13-14-2023 15:14:15 DEBUG    [hangman.py:101] DEF scored 0
19-11-2023 09:11:27 DEBUG    [player.py:21] Player ABC created
19-11-2023 09:11:27 INFO     [admin.py:19] Admin logged in
19-12-2023 09:12:52 DEBUG    [player.py:21] Player ABC created
19-12-2023 09:12:52 INFO     [admin.py:19] Admin logged in
20-16-2023 13:16:23 DEBUG    [login.py:16] []
20-16-2023 13:16:23 DEBUG    [player.py:15] Player abc created
20-17-2023 13:17:25 DEBUG    [login.py:16] [('Deadpool', 'abc', 'player')]
20-17-2023 13:17:25 DEBUG    [player.py:15] Player abc created
20-25-2023 13:25:14 DEBUG    [main.py:20] [('Deadpool', 'abc', 'player')]
20-26-2023 13:26:10 DEBUG    [main.py:20] ('Deadpool', 'abc', 'player')
20-26-2023 13:26:10 DEBUG    [player.py:15] Player Deadpool created
20-40-2023 13:40:44 DEBUG    [PlayerDAO.py:45] []
20-40-2023 13:40:44 DEBUG    [main.py:27] ('abc', 'admin')
20-42-2023 13:42:10 DEBUG    [PlayerDAO.py:45] []
20-47-2023 13:47:03 DEBUG    [PlayerDAO.py:42] Type: <class 'list'>
20-47-2023 13:47:03 DEBUG    [PlayerDAO.py:48] []
20-47-2023 13:47:03 DEBUG    [main.py:27] ('deadpool', 'abc', 'admin')
20-47-2023 13:47:03 DEBUG    [player.py:15] Player deadpool created
20-47-2023 13:47:03 INFO     [admin.py:15] Admin logged in
20-50-2023 13:50:40 DEBUG    [PlayerDAO.py:45] [('Deadpool', 'abc', 'player')]
20-50-2023 13:50:40 DEBUG    [main.py:27] ('Deadpool', 'abc', 'player')
20-50-2023 13:50:40 DEBUG    [player.py:15] Player Deadpool created
20-50-2023 13:50:52 INFO     [words.py:9] Word Section accessed
20-51-2023 13:51:28 DEBUG    [hangman.py:43] Deadpool scored 4
20-51-2023 13:51:28 DEBUG    [hangman.py:97] <Player Deadpool Scores:[] Wins:0 />
20-51-2023 13:51:28 DEBUG    [hangman.py:101] Deadpool scored 4
20-03-2023 14:03:00 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-05-2023 14:05:02 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-05-2023 14:05:02 DEBUG    [main.py:27] Player(name='Deadpool', role='player')
20-05-2023 14:05:02 DEBUG    [player.py:15] Player Deadpool created
20-06-2023 14:06:31 DEBUG    [PlayerDAO.py:52] [('my_player', 'abc', 'player')]
20-06-2023 14:06:31 DEBUG    [main.py:27] Player(name='my_player', role='player')
20-06-2023 14:06:31 DEBUG    [player.py:15] Player my_player created
20-15-2023 16:15:22 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-15-2023 16:15:22 DEBUG    [main.py:25] Player(name='Deadpool', role='player')
20-15-2023 16:15:22 DEBUG    [player.py:15] Player Deadpool created
20-22-2023 16:22:23 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-22-2023 16:22:23 DEBUG    [main.py:27] Player(name='Deadpool', role='player')
20-22-2023 16:22:23 DEBUG    [player.py:15] Player Deadpool created
20-25-2023 16:25:21 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-25-2023 16:25:21 DEBUG    [main.py:25] Player(name='Deadpool', role='player')
20-25-2023 16:25:21 DEBUG    [player.py:15] Player Deadpool created
20-54-2023 16:54:04 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-54-2023 16:54:04 DEBUG    [main.py:38] Player(name='Deadpool', role='player')
20-54-2023 16:54:04 DEBUG    [player.py:15] Player Deadpool created
20-05-2023 17:05:31 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-05-2023 17:05:31 DEBUG    [main.py:38] Player(name='Deadpool', role='player')
20-05-2023 17:05:31 DEBUG    [player.py:16] Player Deadpool created
20-06-2023 17:06:04 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-06-2023 17:06:04 DEBUG    [main.py:38] Player(name='Deadpool', role='player')
20-06-2023 17:06:04 DEBUG    [player.py:16] Player Deadpool created
20-06-2023 17:06:06 INFO     [words.py:9] Word Section accessed
20-06-2023 17:06:46 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-06-2023 17:06:46 DEBUG    [main.py:38] Player(name='Deadpool', role='player')
20-06-2023 17:06:46 DEBUG    [player.py:16] Player Deadpool created
20-09-2023 17:09:57 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-09-2023 17:09:57 DEBUG    [main.py:38] Player(name='Deadpool', role='player')
20-09-2023 17:09:57 DEBUG    [player.py:16] Player Deadpool created
20-10-2023 17:10:56 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-10-2023 17:10:56 DEBUG    [main.py:38] Player(name='Deadpool', role='player')
20-10-2023 17:10:56 DEBUG    [player.py:16] Player Deadpool created
20-13-2023 17:13:53 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-13-2023 17:13:53 DEBUG    [main.py:38] Player(name='Deadpool', role='player')
20-13-2023 17:13:53 DEBUG    [player.py:16] Player Deadpool created
20-13-2023 17:13:58 DEBUG    [play.py:10] User choice: a
20-14-2023 17:14:00 DEBUG    [play.py:10] User choice: q
20-14-2023 17:14:01 DEBUG    [play.py:10] User choice: q
20-14-2023 17:14:03 DEBUG    [play.py:10] User choice: q
20-15-2023 17:15:53 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-15-2023 17:15:53 DEBUG    [main.py:38] Player(name='Deadpool', role='player')
20-15-2023 17:15:53 DEBUG    [player.py:16] Player Deadpool created
20-15-2023 17:15:57 DEBUG    [play.py:10] User choice: g
20-15-2023 17:15:59 DEBUG    [play.py:10] User choice: q
20-16-2023 17:16:13 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
20-16-2023 17:16:13 DEBUG    [main.py:38] Player(name='Deadpool', role='player')
20-16-2023 17:16:13 DEBUG    [player.py:16] Player Deadpool created
20-16-2023 17:16:19 DEBUG    [play.py:10] User choice: p
20-16-2023 17:16:19 INFO     [words.py:9] Word Section accessed
20-16-2023 17:16:55 DEBUG    [hangman.py:43] Deadpool scored 0
20-16-2023 17:16:55 DEBUG    [hangman.py:97] <Player Deadpool Scores:[] Wins:0 />
20-16-2023 17:16:55 DEBUG    [hangman.py:101] Deadpool scored 0
23-58-2023 09:58:51 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-58-2023 09:58:51 DEBUG    [main.py:35] Player(name='Deadpool', role='player')
23-58-2023 09:58:51 DEBUG    [player.py:16] Player Deadpool created
23-59-2023 09:59:02 INFO     [words.py:9] Word Section accessed
23-59-2023 09:59:51 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-59-2023 09:59:51 DEBUG    [main.py:35] Player(name='Deadpool', role='player')
23-59-2023 09:59:51 DEBUG    [player.py:16] Player Deadpool created
23-59-2023 09:59:54 INFO     [words.py:9] Word Section accessed
23-00-2023 10:00:40 DEBUG    [hangman.py:101] <Player Deadpool Scores:[] Wins:0 />
23-00-2023 10:00:40 DEBUG    [hangman.py:105] Deadpool scored 3
23-08-2023 10:08:07 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-08-2023 10:08:07 DEBUG    [main.py:35] Player(name='Deadpool', role='player')
23-08-2023 10:08:07 DEBUG    [player.py:16] Player Deadpool created
23-08-2023 10:08:11 DEBUG    [player.py:33] start_new_game
23-08-2023 10:08:11 INFO     [words.py:9] Word Section accessed
23-08-2023 10:08:33 DEBUG    [hangman.py:101] <Player Deadpool Scores:[] Wins:0 />
23-08-2023 10:08:33 DEBUG    [hangman.py:105] Deadpool scored 5
23-14-2023 10:14:47 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-14-2023 10:14:47 DEBUG    [main.py:36] Player(name='Deadpool', role='player')
23-14-2023 10:14:47 DEBUG    [player.py:17] Player Deadpool created
23-14-2023 10:14:55 INFO     [words.py:9] Word Section accessed
23-15-2023 10:15:31 DEBUG    [hangman.py:101] <Player Deadpool Scores:[] Wins:0 />
23-15-2023 10:15:31 DEBUG    [hangman.py:105] Deadpool scored 4
23-20-2023 10:20:22 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-20-2023 10:20:22 DEBUG    [main.py:36] Player(name='Deadpool', role='player')
23-20-2023 10:20:22 DEBUG    [player.py:17] Player Deadpool created
23-25-2023 10:25:44 DEBUG    [PlayerDAO.py:52] [('Deadpool2', 'Abcdefg@2002', 'player')]
23-25-2023 10:25:44 DEBUG    [main.py:36] Player(name='Deadpool2', role='player')
23-25-2023 10:25:44 DEBUG    [player.py:17] Player Deadpool2 created
23-30-2023 10:30:16 DEBUG    [PlayerDAO.py:52] [('Deadpool2', 'Abcdefg@2002', 'player')]
23-30-2023 10:30:16 DEBUG    [main.py:36] Player(name='Deadpool2', role='player')
23-30-2023 10:30:16 DEBUG    [player.py:17] Player Deadpool2 created
23-30-2023 10:30:27 INFO     [words.py:9] Word Section accessed
23-31-2023 10:31:01 DEBUG    [hangman.py:102] <Player Deadpool2 Scores:[] Wins:0 />
23-31-2023 10:31:01 DEBUG    [hangman.py:106] Deadpool2 scored 0
23-32-2023 10:32:36 DEBUG    [PlayerDAO.py:52] [('Deadpool2', 'Abcdefg@2002', 'player')]
23-32-2023 10:32:36 DEBUG    [main.py:36] Player(name='Deadpool2', role='player')
23-32-2023 10:32:36 DEBUG    [player.py:17] Player Deadpool2 created
23-32-2023 10:32:38 INFO     [words.py:9] Word Section accessed
23-32-2023 10:32:58 DEBUG    [hangman.py:103] <Player Deadpool2 Scores:[] Wins:0 />
23-32-2023 10:32:58 DEBUG    [hangman.py:107] Deadpool2 scored 4
23-06-2023 11:06:54 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-06-2023 11:06:54 DEBUG    [main.py:36] Player(name='Deadpool', role='player')
23-06-2023 11:06:54 DEBUG    [player.py:17] Player Deadpool created
23-07-2023 11:07:18 INFO     [words.py:9] Word Section accessed
23-08-2023 11:08:14 DEBUG    [hangman.py:103] <Player Deadpool Scores:[] Wins:0 />
23-08-2023 11:08:14 DEBUG    [hangman.py:107] Deadpool scored 3
23-51-2023 11:51:41 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-51-2023 11:51:41 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-51-2023 11:51:41 DEBUG    [player.py:17] Player Deadpool created
23-51-2023 11:51:45 INFO     [words.py:9] Word Section accessed
23-52-2023 11:52:54 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-52-2023 11:52:54 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-52-2023 11:52:54 DEBUG    [player.py:17] Player Deadpool created
23-52-2023 11:52:56 INFO     [words.py:9] Word Section accessed
23-53-2023 11:53:35 DEBUG    [hangman.py:101] <Player Deadpool Scores:[] Wins:0 />
23-53-2023 11:53:35 DEBUG    [hangman.py:105] Deadpool scored 7
23-54-2023 11:54:22 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-54-2023 11:54:22 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-54-2023 11:54:22 DEBUG    [player.py:17] Player Deadpool created
23-54-2023 11:54:24 INFO     [words.py:9] Word Section accessed
23-54-2023 11:54:37 DEBUG    [hangman.py:100] <Player Deadpool Scores:[] Wins:0 />
23-54-2023 11:54:37 DEBUG    [hangman.py:104] Deadpool scored 0
23-58-2023 11:58:02 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-58-2023 11:58:02 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-58-2023 11:58:02 DEBUG    [player.py:17] Player Deadpool created
23-58-2023 11:58:04 INFO     [words.py:9] Word Section accessed
23-58-2023 11:58:17 DEBUG    [hangman.py:100] <Player Deadpool Scores:[] Wins:0 />
23-58-2023 11:58:17 DEBUG    [hangman.py:104] Deadpool scored 7
23-00-2023 12:00:33 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-00-2023 12:00:33 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-00-2023 12:00:33 DEBUG    [player.py:17] Player Deadpool created
23-00-2023 12:00:41 INFO     [words.py:9] Word Section accessed
23-01-2023 12:01:10 DEBUG    [hangman.py:100] <Player Deadpool Scores:[] Wins:0 />
23-01-2023 12:01:10 DEBUG    [hangman.py:104] Deadpool scored 7
23-01-2023 12:01:48 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-01-2023 12:01:48 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-01-2023 12:01:48 DEBUG    [player.py:17] Player Deadpool created
23-01-2023 12:01:50 INFO     [words.py:9] Word Section accessed
23-02-2023 12:02:12 DEBUG    [hangman.py:100] <Player Deadpool Scores:[] Wins:0 />
23-02-2023 12:02:12 DEBUG    [hangman.py:104] Deadpool scored 6
23-03-2023 12:03:01 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-03-2023 12:03:01 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-03-2023 12:03:01 DEBUG    [player.py:17] Player Deadpool created
23-03-2023 12:03:53 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-03-2023 12:03:53 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-03-2023 12:03:53 DEBUG    [player.py:17] Player Deadpool created
23-04-2023 12:04:36 DEBUG    [PlayerDAO.py:52] [('Deadpool', 'abc', 'player')]
23-04-2023 12:04:36 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-04-2023 12:04:36 DEBUG    [player.py:17] Player Deadpool created
23-18-2023 13:18:29 INFO     [PlayerDAO.py:23] Three tables are created
23-18-2023 13:18:45 INFO     [PlayerDAO.py:23] Three tables are created
23-18-2023 13:18:45 DEBUG    [PlayerDAO.py:56] [('deadpool', 'Abcdefg@2002', 'player')]
23-18-2023 13:18:45 DEBUG    [main.py:37] Player(name='deadpool', role='player')
23-18-2023 13:18:45 DEBUG    [player.py:17] Player deadpool created
23-20-2023 13:20:55 INFO     [words.py:9] Word Section accessed
23-21-2023 13:21:50 DEBUG    [hangman.py:100] <Player deadpool Scores:[] Wins:0 />
23-21-2023 13:21:50 DEBUG    [hangman.py:104] deadpool scored 3
23-25-2023 13:25:25 INFO     [PlayerDAO.py:23] Three tables are created
23-25-2023 13:25:25 DEBUG    [PlayerDAO.py:56] [('deadpool', 'Abcdefg@2002', 'player')]
23-25-2023 13:25:25 DEBUG    [main.py:37] Player(name='deadpool', role='player')
23-25-2023 13:25:25 DEBUG    [player.py:17] Player deadpool created
23-25-2023 13:25:33 INFO     [words.py:9] Word Section accessed
23-26-2023 13:26:07 DEBUG    [hangman.py:102] <Player deadpool Scores:[] Wins:0 />
23-26-2023 13:26:07 DEBUG    [hangman.py:106] deadpool scored 5
23-29-2023 13:29:46 INFO     [PlayerDAO.py:23] Three tables are created
23-29-2023 13:29:46 DEBUG    [PlayerDAO.py:56] [('deadpool', 'Abcdefg@2002', 'player')]
23-29-2023 13:29:46 DEBUG    [main.py:37] Player(name='deadpool', role='player')
23-29-2023 13:29:46 DEBUG    [player.py:17] Player deadpool created
23-29-2023 13:29:53 INFO     [words.py:9] Word Section accessed
23-30-2023 13:30:45 DEBUG    [hangman.py:103] <Player deadpool Scores:[] Wins:0 />
23-30-2023 13:30:45 DEBUG    [hangman.py:107] deadpool scored 0
23-32-2023 13:32:44 INFO     [PlayerDAO.py:23] Three tables are created
23-32-2023 13:32:58 INFO     [PlayerDAO.py:23] Three tables are created
23-33-2023 13:33:16 INFO     [PlayerDAO.py:23] Three tables are created
23-33-2023 13:33:16 DEBUG    [PlayerDAO.py:56] [('deadpool', 'Abcdefg@2002', 'player')]
23-33-2023 13:33:16 DEBUG    [main.py:37] Player(name='deadpool', role='player')
23-33-2023 13:33:16 DEBUG    [player.py:17] Player deadpool created
23-33-2023 13:33:21 INFO     [words.py:9] Word Section accessed
23-33-2023 13:33:49 DEBUG    [hangman.py:103] <Player deadpool Scores:[] Wins:0 />
23-33-2023 13:33:49 DEBUG    [hangman.py:107] deadpool scored 7
23-45-2023 13:45:06 INFO     [PlayerDAO.py:23] Three tables are created
23-45-2023 13:45:06 DEBUG    [PlayerDAO.py:56] [('deadpool', 'Abcdefg@2002', 'player')]
23-45-2023 13:45:06 DEBUG    [main.py:37] Player(name='deadpool', role='player')
23-45-2023 13:45:06 DEBUG    [player.py:17] Player deadpool created
23-45-2023 13:45:09 INFO     [words.py:16] Word Section accessed
23-46-2023 13:46:12 INFO     [PlayerDAO.py:23] Three tables are created
23-46-2023 13:46:12 DEBUG    [PlayerDAO.py:56] [('deadpool', 'Abcdefg@2002', 'player')]
23-46-2023 13:46:12 DEBUG    [main.py:37] Player(name='deadpool', role='player')
23-46-2023 13:46:12 DEBUG    [player.py:17] Player deadpool created
23-47-2023 13:47:01 INFO     [PlayerDAO.py:23] Three tables are created
23-47-2023 13:47:01 DEBUG    [PlayerDAO.py:56] [('deadpool', 'Abcdefg@2002', 'player')]
23-47-2023 13:47:01 DEBUG    [main.py:37] Player(name='deadpool', role='player')
23-47-2023 13:47:01 DEBUG    [player.py:17] Player deadpool created
23-47-2023 13:47:03 INFO     [words.py:16] Word Section accessed
23-47-2023 13:47:36 DEBUG    [hangman.py:108] <Player deadpool Scores:[] Wins:0 />
23-47-2023 13:47:36 DEBUG    [hangman.py:112] deadpool scored 4
23-48-2023 13:48:04 INFO     [words.py:16] Word Section accessed
23-48-2023 13:48:21 DEBUG    [hangman.py:108] <Player deadpool Scores:[4] Wins:0 />
23-48-2023 13:48:21 DEBUG    [hangman.py:112] deadpool scored 0
23-50-2023 13:50:31 INFO     [PlayerDAO.py:23] Three tables are created
23-50-2023 13:50:31 DEBUG    [PlayerDAO.py:56] [('deadpool', 'Abcdefg@2002', 'player')]
23-50-2023 13:50:31 DEBUG    [main.py:37] Player(name='deadpool', role='player')
23-50-2023 13:50:31 DEBUG    [player.py:17] Player deadpool created
23-51-2023 13:51:19 INFO     [PlayerDAO.py:23] Three tables are created
23-51-2023 13:51:43 INFO     [PlayerDAO.py:23] Three tables are created
23-51-2023 13:51:43 DEBUG    [PlayerDAO.py:56] [('Pratiksha', 'Pratiksha123', 'player')]
23-51-2023 13:51:43 DEBUG    [main.py:37] Player(name='Pratiksha', role='player')
23-51-2023 13:51:43 DEBUG    [player.py:17] Player Pratiksha created
23-53-2023 13:53:09 INFO     [PlayerDAO.py:23] Three tables are created
23-53-2023 13:53:30 INFO     [PlayerDAO.py:23] Three tables are created
23-53-2023 13:53:30 DEBUG    [PlayerDAO.py:56] [('Pratiksha', 'Pratiksha123', 'player')]
23-53-2023 13:53:30 DEBUG    [main.py:37] Player(name='Pratiksha', role='player')
23-53-2023 13:53:30 DEBUG    [player.py:17] Player Pratiksha created
23-53-2023 13:53:37 INFO     [words.py:16] Word Section accessed
23-53-2023 13:53:55 DEBUG    [hangman.py:108] <Player Pratiksha Scores:[] Wins:0 />
23-53-2023 13:53:55 DEBUG    [hangman.py:112] Pratiksha scored 0
23-02-2023 15:02:07 INFO     [PlayerDAO.py:23] Three tables are created
23-02-2023 15:02:26 INFO     [PlayerDAO.py:23] Three tables are created
23-03-2023 15:03:05 INFO     [PlayerDAO.py:23] Three tables are created
23-03-2023 15:03:56 INFO     [PlayerDAO.py:23] Three tables are created
23-38-2023 16:38:43 INFO     [PlayerDAO.py:23] Three tables are created
23-38-2023 16:38:53 INFO     [PlayerDAO.py:23] Three tables are created
23-39-2023 16:39:02 INFO     [PlayerDAO.py:23] Three tables are created
23-46-2023 16:46:23 INFO     [PlayerDAO.py:23] Three tables are created
23-46-2023 16:46:23 DEBUG    [PlayerDAO.py:58] [('Deadpool', 'Abcdef@2002', 'player')]
23-46-2023 16:46:23 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-46-2023 16:46:23 DEBUG    [player.py:17] Player Deadpool created
23-46-2023 16:46:23 INFO     [main.py:42] Login with <Player Deadpool Scores:[] Wins:0 />
23-46-2023 16:46:51 INFO     [PlayerDAO.py:23] Three tables are created
23-47-2023 16:47:01 INFO     [PlayerDAO.py:23] Three tables are created
23-47-2023 16:47:01 DEBUG    [PlayerDAO.py:58] [('Deadpool', 'Abcdef@2002', 'player')]
23-47-2023 16:47:01 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
23-47-2023 16:47:01 DEBUG    [player.py:17] Player Deadpool created
23-47-2023 16:47:01 INFO     [main.py:42] Login with <Player Deadpool Scores:[] Wins:0 />
23-03-2023 17:03:58 INFO     [PlayerDAO.py:23] Three tables are created
23-03-2023 17:03:58 DEBUG    [PlayerDAO.py:58] [('Deadpool', 'Abcdef@2002', 'player')]
23-03-2023 17:03:58 DEBUG    [main.py:37] Player(name='Deadpool', role='player')
